invoice_id,vendor_id,vendor_name,invoice_date,amount_eur,currency,status,po_number,payment_reference
INV-2024-10073,V022,NovaTech BV,2025-02-20,16146.16,EUR,PAID,PO-30257,PAY-348237
INV-2024-10074,V006,BritTech Solutions Ltd,2024-06-30,17619.3,GBP,APPROVED,PO-13248,
INV-2024-10075,V006,BritTech Solutions Ltd,2024-12-06,13785.03,GBP,APPROVED,PO-97806,
INV-2024-10076,V008,CleanStation S.A.,2024-04-20,1700.63,EUR,APPROVED,PO-15075,
INV-2024-10077,V019,AlphaMark GmbH,2025-04-16,3001.9,EUR,APPROVED,PO-50001,
INV-2024-10078,V008,CleanStation S.A.,2024-07-16,1503.16,EUR,APPROVED,PO-53025,
INV-2024-10079,V009,SparkIT BV,2024-10-12,15829.65,EUR,APPROVED,PO-94080,
INV-2024-10080,V020,LexCounsel GmbH,2024-12-05,5996.78,CHF,PROCESSED,PO-25118,
INV-2024-10081,V009,SparkIT BV,2024-09-28,4857.09,EUR,PROCESSED,PO-24208,
INV-2024-10082,V025,SafeStation GmbH,2024-11-17,10387.58,EUR,APPROVED,PO-89457,
INV-2024-10083,V020,LexCounsel GmbH,2024-07-13,3156.46,CHF,APPROVED,PO-15817,
INV-2024-10084,V014,IberMaint S.L.,2024-07-20,2021.99,EUR,APPROVED,PO-66531,
INV-2024-10085,V003,TotalRoute S.A.,2024-12-04,40108.36,EUR,PAID,PO-51145,PAY-795612
INV-2024-10086,V004,FleetMech GmbH,2024-11-03,11356.81,EUR,PAID,PO-50538,PAY-799287
INV-2024-10087,V014,IberMaint S.L.,2024-10-29,6240.38,EUR,PAID,PO-26683,PAY-301158
INV-2024-10088,V014,IberMaint S.L.,2025-01-23,10644.08,EUR,PAID,PO-32810,PAY-745414
INV-2024-10089,V023,GreenClean GmbH,2024-01-01,1854.27,CHF,APPROVED,PO-47606,
INV-2024-10090,V007,SecureGuard AG,2024-11-25,9448.32,EUR,APPROVED,PO-67905,
INV-2024-10091,V017,DataSphere SAS,2025-06-07,12810.04,EUR,APPROVED,PO-32241,
INV-2024-10092,V003,TotalRoute S.A.,2024-12-09,15500.1,EUR,PROCESSED,PO-40784,
INV-2024-10093,V010,StationOps GmbH,2024-07-22,6818.89,EUR,PROCESSED,PO-13201,
INV-2024-10094,V002,AlpinaDiesel AG,2025-05-01,14059.17,EUR,PAID,PO-19545,PAY-577538
INV-2024-10095,V014,IberMaint S.L.,2024-07-18,13519.78,EUR,PAID,PO-60328,PAY-618392
INV-2024-10096,V013,NordClean ApS,2024-01-06,1597.93,EUR,PROCESSED,PO-65724,
INV-2024-10097,V008,CleanStation S.A.,2025-06-14,1291.49,EUR,APPROVED,PO-16582,
INV-2024-10098,V022,NovaTech BV,2024-05-04,5987.17,EUR,APPROVED,PO-27477,
INV-2024-10099,V017,DataSphere SAS,2024-11-20,12681.24,EUR,APPROVED,PO-90301,
INV-2024-10100,V020,LexCounsel GmbH,2025-04-01,6267.41,CHF,PROCESSED,PO-72216,
INV-2024-10101,V017,DataSphere SAS,2024-09-10,6147.06,EUR,PAID,PO-46347,PAY-903013
INV-2024-10102,V020,LexCounsel GmbH,2024-09-01,6845.97,CHF,APPROVED,PO-67654,
INV-2024-10103,V003,TotalRoute S.A.,2024-08-28,31401.16,EUR,APPROVED,PO-54020,
INV-2024-10104,V011,LegalEdge S.A.,2024-03-23,10930.27,EUR,PROCESSED,PO-29769,
INV-2024-10105,V008,CleanStation S.A.,2024-06-05,2223.66,EUR,PAID,PO-38043,PAY-167348
INV-2024-10106,V014,IberMaint S.L.,2025-04-22,7298.79,EUR,APPROVED,PO-18161,
INV-2024-10107,V007,SecureGuard AG,2025-02-02,15493.37,EUR,PAID,PO-12560,PAY-998348
INV-2024-10108,V023,GreenClean GmbH,2024-01-07,2211.71,EUR,APPROVED,PO-49139,
INV-2024-10109,V013,NordClean ApS,2025-03-05,4340.52,EUR,PAID,PO-81582,PAY-938722
INV-2024-10110,V025,SafeStation GmbH,2025-05-14,18262.79,EUR,PROCESSED,PO-45774,
INV-2024-10111,V014,IberMaint S.L.,2025-02-02,8313.35,EUR,APPROVED,PO-97670,
INV-2024-10112,V013,NordClean ApS,2025-04-23,3758.82,EUR,PROCESSED,PO-91560,
INV-2024-10113,V022,NovaTech BV,2025-02-07,2431.46,EUR,PAID,PO-83975,PAY-795205
INV-2024-10114,V001,EuroFuel GmbH,2025-03-14,8106.06,EUR,PROCESSED,PO-70515,
INV-2024-10115,V006,BritTech Solutions Ltd,2025-01-23,2804.55,GBP,APPROVED,PO-37742,
INV-2024-10116,V017,DataSphere SAS,2025-01-23,7229.53,EUR,APPROVED,PO-65255,
INV-2024-10117,V009,SparkIT BV,2025-04-26,15358.57,EUR,PROCESSED,PO-80702,
INV-2024-10118,V002,AlpinaDiesel AG,2024-12-24,41996.59,EUR,PROCESSED,PO-95215,
